File name,Size,H(original image),H(Haar transform),H(CDF 9/7 transform),H(after SR Haar),H(after SR CDF 97)
PTX_1024_1024_010.dat,1024x1024,12.7380740226,10.1746174332,10.0647760887,12.5880503478,11.7414963196
PTX_1024_2048_010.dat,1024x2048,10.2275522006,7.9617441024,,5.1855955637,
